AreaName,Date,NewCasesBySpecimenDate,NewCasesRatePer100k,NewCasesRollingSum,year,month,day
Leicester,2023-12-09,5,8.5,30,2023,12,9
Leicester,2023-12-06,7,7.9,28,2023,12,6
Leicester,2023-12-04,1,6.5,23,2023,12,4
Leicester,2023-12-03,3,6.8,24,2023,12,3
Leicester,2023-12-02,1,6.5,23,2023,12,2
Leicester,2023-11-29,3,5.9,21,2023,11,29
Leicester,2023-11-24,4,5.4,19,2023,11,24
Leicester,2023-11-22,2,6.2,22,2023,11,22
Leicester,2023-11-18,1,7.1,25,2023,11,18
Leicester,2023-11-13,2,6.5,23,2023,11,13
Leicester,2023-11-09,4,9.6,34,2023,11,9
Leicester,2023-11-06,6,7.6,27,2023,11,6
Leicester,2023-11-02,0,6.5,23,2023,11,2
Leicester,2023-10-30,2,10.5,37,2023,10,30
Leicester,2023-10-29,4,10.7,38,2023,10,29
Leicester,2023-10-18,2,12.1,43,2023,10,18
Leicester,2023-10-09,3,20.1,71,2023,10,9
Leicester,2023-10-08,8,22,78,2023,10,8
Leicester,2023-10-04,17,24.9,88,2023,10,4
Leicester,2023-10-03,15,23.7,84,2023,10,3
Leicester,2023-09-29,12,21.2,75,2023,9,29
Leicester,2023-09-24,7,14.1,50,2023,9,24
Leicester,2023-09-22,7,14.4,51,2023,9,22
Leicester,2023-09-21,7,14.4,51,2023,9,21
Leicester,2023-09-17,9,16.9,60,2023,9,17
Leicester,2023-09-15,7,17.2,61,2023,9,15
Leicester,2023-09-10,8,15.5,55,2023,9,10
Leicester,2023-09-08,2,15,53,2023,9,8
Leicester,2023-09-07,9,16.4,58,2023,9,7
Leicester,2023-09-06,8,15,53,2023,9,6
Leicester,2023-08-26,4,10.5,37,2023,8,26
Leicester,2023-08-25,9,10.7,38,2023,8,25
Leicester,2023-08-18,4,11.3,40,2023,8,18
Leicester,2023-08-17,3,11.6,41,2023,8,17
Leicester,2023-08-14,8,14.1,50,2023,8,14
Leicester,2023-08-13,13,13.6,48,2023,8,13
Leicester,2023-08-10,11,10.7,38,2023,8,10
Leicester,2023-08-05,2,3.4,12,2023,8,5
Leicester,2023-08-04,4,3.4,12,2023,8,4
Leicester,2023-08-01,0,1.7,6,2023,8,1
Leicester,2023-07-27,2,2,7,2023,7,27
Leicester,2023-07-26,0,2.3,8,2023,7,26
Leicester,2023-07-22,1,2,7,2023,7,22
Leicester,2023-07-12,1,4.2,15,2023,7,12
Leicester,2023-07-09,2,3.1,11,2023,7,9
Leicester,2023-07-03,2,2.5,9,2023,7,3
Leicester,2023-07-02,2,2,7,2023,7,2
Leicester,2023-07-01,0,1.4,5,2023,7,1
Leicester,2023-06-30,1,1.7,6,2023,6,30
Leicester,2023-06-29,0,1.7,6,2023,6,29
Leicester,2023-06-27,3,3.1,11,2023,6,27
Leicester,2023-06-25,0,2.8,10,2023,6,25
Leicester,2023-06-21,4,3.4,12,2023,6,21
Leicester,2023-06-20,1,3.1,11,2023,6,20
Leicester,2023-06-19,1,3.4,12,2023,6,19
Leicester,2023-06-17,2,5.4,19,2023,6,17
Leicester,2023-06-14,3,5.4,19,2023,6,14
Leicester,2023-06-12,5,5.9,21,2023,6,12
Leicester,2023-06-07,4,5.1,18,2023,6,7
Leicester,2023-06-03,1,5.6,20,2023,6,3
Leicester,2023-06-02,3,5.9,21,2023,6,2
Leicester,2023-06-01,2,5.9,21,2023,6,1
Leicester,2023-05-30,3,4.8,17,2023,5,30
Leicester,2023-05-27,2,8.8,31,2023,5,27
Leicester,2023-05-26,3,8.8,31,2023,5,26
Leicester,2023-05-24,4,9.6,34,2023,5,24
Leicester,2023-05-23,7,9.3,33,2023,5,23
Leicester,2023-05-22,4,8.5,30,2023,5,22
Leicester,2023-05-20,2,8.8,31,2023,5,20
Leicester,2023-05-19,6,8.2,29,2023,5,19
